"Station Name","Province","Latitude","Longitude","Elevation","Climate ID","WMO Identifier","TC Identifier","First Year","Last Year","HLY First Year","HLY Last Year","DLY First Year","DLY Last Year","MLY First Year","MLY Last Year"
"ACADIA VALLEY MACTAVISH","ALBERTA","51.20","-110.17","743.70","3020025","","","1988","2005","","","1988","2005","1988","2005"
"ACADIA VALLEY VANDYNE","ALBERTA","51.03","-110.30","708.60","3020031","","","1988","1998","","","1988","1998","1988","1998"
"ACADIEVILLE","NEW BRUNSWICK","46.73","-65.28","61.00","8100105","","","1980","1995","","","1980","1995","1980","1995"
"ACME CDA EPF","ALBERTA","51.50","-113.42","905.00","3020040","","","1953","1982","","","1953","1982","1953","1982"
"ACTIVE PASS","BRITISH COLUMBIA","48.87","-123.28","4.00","1010066","","","1984","1996","","","1984","1996","1984","1996"
"ACTON BEARDMORE","ONTARIO","43.63","-80.03","320.00","6150039","","","1966","1967","","","1966","1967","1966","1967"
"ACTON MONITOR STN","ONTARIO","43.65","-80.05","411.50","6140041","","","1966","1971","","","1966","1971","1966","1971"
"ACTON VALE","QUEBEC","45.65","-72.57","94.50","7020055","","","1964","1973","","","1964","1973","1964","1973"
"ADAIR LO","ALBERTA","59.17","-118.33","365.80","3070043","","","1968","2011","","","1968","2011","1968","2007"
"ADAMS CREEK LO","ALBERTA","53.72","-118.57","2209.80","3060045","","","1962","2011","","","1962","2011","1962","2007"
"ADAMS LAKE SKWAAM BAY","BRITISH COLUMBIA","51.08","-119.80","457.20","1160075","","","1972","1975","","","1972","1975","1972","1975"
"ADDENBROKE ISLAND","BRITISH COLUMBIA","51.60","-127.86","21.30","1060080","","WCZ","1978","2022","1994","2001","1978","2022","1978","2007"
"ADEN","ALBERTA","49.05","-111.32","1036.30","3040049","","","1962","2000","","","1962","2000","1962","2000"
"ADRA","BRITISH COLUMBIA","49.73","-119.58","1002.50","1120090","","","1928","1953","","","1928","1953","1928","1953"
"AGASSIZ CDA","BRITISH COLUMBIA","49.24","-121.76","15.00","1100120","","","1889","2022","","","1889","2022","1889","2007"
"AGASSIZ MOUNTAIN INSTITUTE","BRITISH COLUMBIA","49.27","-121.83","30.00","1100130","","","1986","1995","","","1986","1995","1986","1995"
"AGASSIZ RCS","BRITISH COLUMBIA","49.24","-121.76","19.30","1100119","71113","WZA","1988","2022","1994","2022","1988","2022","1988","2006"
"AGNEW MINE","ONTARIO","46.43","-81.62","305.10","6060070","","","1978","1983","","","1978","1983","1978","1983"
"AGUASABON","ONTARIO","48.78","-87.17","189.00","6040081","","","1950","1972","","","1950","1972","1950","1972"
"AIGREMONT","QUEBEC","49.30","-73.85","403.90","7060070","","","1973","1982","","","1973","1982","1973","1980"
"AILSA CRAIG","ONTARIO","43.15","-81.53","228.60","6140091","","","1968","1972","","","1968","1972","1968","1972"
"AIRDRIE","ALBERTA","51.32","-113.88","1082.00","3030060","","","1961","1963","","","1961","1963","1961","1963"
"AISHIHIK A","YUKON TERRITORY","61.65","-137.48","966.20","2100100","","","1943","1966","1953","1966","1943","1966","1943","1966"
"AIYANSH","BRITISH COLUMBIA","55.23","-129.02","228.60","1070150","","","1924","1971","","","1924","1971","1924","1971"
"AIYANSH 2SE","BRITISH COLUMBIA","55.18","-129.05","213.40","1070154","","","1974","1985","","","1974","1985","1974","1985"
"AKAMINA PASS","ALBERTA","49.03","-114.05","1800.00","30500FR","","","2002","2007","","","2002","2007","2003","2007"
"AKLAVIK A","NORTHWEST TERRITORIES","68.22","-135.01","6.40","2200105","","YKD","2014","2022","2014","2022","2018","2022","",""
"AKLAVIK A","NORTHWEST TERRITORIES","68.22","-135.01","6.40","2200100","","YKD","1926","2014","1953","2014","1926","2014","1926","2007"
"AKLAVIK A","NORTHWEST TERRITORIES","68.22","-135.01","6.40","2200101","","YKD","2014","2022","2014","2022","","","",""
"AKLAVIK RADIOSONDE","NORTHWEST TERRITORIES","68.23","-135.00","9.10","2200200","","","1953","1960","","","1953","1960","1953","1960"
"AKULIVIK A","QUEBEC","60.82","-78.15","23.20","7100071","","YKO","2015","2022","2015","2022","","","",""
"AKULIVIK A","QUEBEC","60.82","-78.15","23.20","7100075","","YKO","1992","2015","1992","2015","","","",""
"AKULIVIK A","QUEBEC","60.82","-78.15","23.20","7100072","","YKO","2018","2022","2018","2022","2018","2022","",""
"ALAMEDA CDA EPF","SASKATCHEWAN","49.25","-102.28","580.00","4010080","","","1894","1965","","","1894","1965","1894","1965"
"ALBANEL","QUEBEC","48.88","-72.45","152.00","7060080","","","1922","1991","","","1922","1991","1922","1991"
"ALBANY","PRINCE EDWARD ISLAND","46.27","-63.58","33.50","8300060","","","1984","1993","","","1984","1993","1984","1993"
"ALBERNI BEAVER CREEK","BRITISH COLUMBIA","49.37","-124.93","91.40","1030180","","","1894","1959","","","1894","1959","1894","1959"
"ALBERNI CITY RESERVOIR","BRITISH COLUMBIA","49.27","-124.78","64.60","1030185","","","1962","1963","","","1962","1963","1962","1963"
"ALBERNI LUPSI CUPSI","BRITISH COLUMBIA","49.25","-124.82","9.10","1030210","","","1948","1974","","","1948","1974","1948","1974"
"ALBERNI MCCOY LAKE","BRITISH COLUMBIA","49.28","-124.88","42.70","1030220","","","1958","1973","","","1958","1973","1958","1973"
"ALBERNI ROBERTSON CREEK","BRITISH COLUMBIA","49.34","-124.98","73.80","1030230","","","1961","2022","","","1961","2022","1961","2007"
"ALBERT HALL AGCM","ALBERTA","53.11","-111.18","658.00","3010060","71005","PAH","2007","2022","2007","2022","2007","2022","2007","2007"
"ALBERT HEAD","BRITISH COLUMBIA","48.40","-123.48","17.00","1010235","","","1971","1995","","","1971","1995","1971","1995"
"ALBERTON","PRINCE EDWARD ISLAND","46.85","-64.02","3.00","8300080","","","1969","2008","","","1969","2008","1969","2006"
"ALBERTON","ONTARIO","43.18","-80.05","215.00","6150060","","","1994","2008","","","1994","2008","1994","2006"
"ALBERTON SNOW","PRINCE EDWARD ISLAND","46.81","-64.06","8.50","8300085","","","2012","2019","","","2012","2019","",""
"ALBERTVILLE","QUEBEC","48.30","-67.35","335.30","7050085","","","1963","1985","","","1963","1985","1963","1985"
"ALBION","ONTARIO","43.93","-79.83","274.30","6150100","","","1956","2000","","","1956","2000","1956","2000"
"ALBION FIELD CENTRE","ONTARIO","43.92","-79.83","281.90","6150103","","","1969","2001","","","1969","2001","1969","2001"
"ALBREDA","BRITISH COLUMBIA","52.67","-119.20","873.30","1170237","","","1973","1977","","","1973","1977","1973","1977"
"ALDER FLATS LO","ALBERTA","52.80","-114.82","1075.90","3010080","","","1952","1984","","","1952","1984","1952","1984"
"ALDERGROVE","BRITISH COLUMBIA","49.12","-122.48","76.20","1100240","","","1953","1980","","","1953","1980","1953","1980"
"ALDERGROVE 2","BRITISH COLUMBIA","49.03","-122.48","60.00","1100241","","","1980","1989","","","1980","1989","1980","1989"
"ALDERGROVE 48 AVENUE","BRITISH COLUMBIA","49.08","-122.52","85.00","1100245","","","1987","1991","","","1987","1991","1987","1991"
"ALDERGROVE CENTRE","BRITISH COLUMBIA","49.05","-122.47","60.00","1100KM0","","","1986","1989","","","1986","1989","1986","1989"
"ALDERSHOT","ONTARIO","43.32","-79.87","144.80","6150135","","","1947","1977","","","1947","1977","1947","1977"
"ALERT","NUNAVUT","82.52","-62.28","30.50","2400300","","WLT","1950","2006","1953","2006","1950","2006","1950","2006"
"ALERT A","NUNAVUT","82.52","-62.28","30.50","2400302","","YLT","1988","2022","1988","2022","","","",""
"ALERT BAY","BRITISH COLUMBIA","50.58","-126.93","59.40","1020270","","","1913","2006","1954","1994","1913","2006","1913","1994"
"ALERT CLIMATE","NUNAVUT","82.50","-62.33","65.40","2400305","71355","ZLT","2004","2022","2004","2022","2004","2022","2005","2007"
"ALERT UA","NUNAVUT","82.50","-62.33","65.40","2400306","71082","","1997","2022","","","1997","2022","1997","2007"
"ALEXANDER","MANITOBA","49.83","-100.30","427.00","5010033","","","1979","1999","","","1979","1999","1979","1999"
"ALEXANDRIA","ONTARIO","45.32","-74.61","77.00","6100166","","TAL","2003","2006","2003","2006","2003","2006","",""
"ALEXIS CREEK","BRITISH COLUMBIA","52.10","-123.62","853.40","1080283","","","1954","1956","","","1954","1956","1954","1956"
"ALEXIS CREEK","BRITISH COLUMBIA","52.13","-123.33","723.90","1080285","","","1919","1963","","","1919","1963","1919","1963"
"ALEXIS CREEK","BRITISH COLUMBIA","52.08","-123.28","800.10","1080284","","","1973","1995","","","1973","1995","1973","1995"
"ALEXIS CREEK TAUTRI CRK","BRITISH COLUMBIA","52.55","-123.18","1219.20","1080289","","","1961","1983","","","1961","1983","1961","1983"
"ALEZA LAKE","BRITISH COLUMBIA","54.12","-122.07","624.80","1090300","","","1952","1980","","","1952","1980","1952","1980"
"ALFRED","ONTARIO","45.56","-74.88","57.00","6100176","","TAE","2003","2007","2003","2007","2003","2007","",""
"ALFRED","ONTARIO","45.55","-74.88","54.00","6100172","","","1984","1986","","","1984","1986","1984","1985"
"ALFRED AUTOMATIC CLIMATE STATION","ONTARIO","45.55","-74.88","54.00","6100174","","","1989","1989","","","1989","1989","1989","1989"
"ALGAR LO","ALBERTA","56.12","-111.78","780.30","3060110","","","1959","2011","","","1959","2011","1959","2007"
"ALGONQUIN PARK","ONTARIO","45.58","-78.55","432.50","6080189","","","1917","1960","","","1917","1960","1917","1960"
"ALGONQUIN PARK EAST","ONTARIO","45.53","-78.27","411.50","6080191","","","1961","1972","","","1961","1972","1961","1972"
"ALGONQUIN PARK EAST GATE","ONTARIO","45.53","-78.27","397.00","6080192","71581","TNK","2004","2022","2004","2022","2004","2022","2005","2006"
"ALGONQUIN PARK WEST","ONTARIO","45.33","-78.85","426.70","6080193","","","1961","1972","","","1961","1972","1961","1972"
"ALICE ARM","BRITISH COLUMBIA","55.68","-129.50","314.20","1060330","","","1948","1964","","","1948","1964","1948","1964"
"ALICE ARM","BRITISH COLUMBIA","55.47","-129.47","1.50","1060331","","","1973","1978","","","1973","1978","1973","1978"
"ALIDA","SASKATCHEWAN","49.45","-101.80","585.20","4010100","","","1989","2004","","","1989","2004","1989","2004"
"ALIX","ALBERTA","52.37","-113.30","853.40","3020121","","","1970","1973","","","1970","1973","1970","1973"
"ALIX","ALBERTA","52.38","-113.17","787.90","3020120","","","1905","1951","","","1905","1951","1905","1951"
"ALKALI LAKE","BRITISH COLUMBIA","51.78","-122.28","","1090335","","","1910","1922","","","1910","1922","1910","1922"
"ALLAN PARK","ONTARIO","44.17","-80.93","285.00","6110210","","","1975","1976","","","1975","1976","1975","1976"
"ALLIANCE","ALBERTA","52.43","-111.78","715.70","3010160","","","1916","1982","","","1916","1982","1916","1982"
"ALLIANCE AGCM","ALBERTA","52.32","-111.78","737.00","3010162","71006","PAA","2007","2022","2007","2022","2007","2022","2007","2007"
"ALLIANCE GREENVIEW","ALBERTA","52.38","-111.80","731.50","3010164","","","1960","1962","","","1960","1962","1960","1962"
"ALLIANCE SOUTH","ALBERTA","52.42","-111.78","713.20","3010175","","","1982","2000","","","1982","2000","1982","2000"
"ALLISON PASS","BRITISH COLUMBIA","49.13","-120.83","1341.10","1110350","","","1958","1972","","","1958","1972","1958","1972"
"ALLISON PASS DOH","BRITISH COLUMBIA","49.12","-120.87","1339.90","1110352","","","1974","1989","","","1974","1989","1974","1989"
"ALLISTON","PRINCE EDWARD ISLAND","46.07","-62.60","61.00","8300100","","","1936","2016","","","1936","2016","1936","2006"
"ALLISTON","ONTARIO","44.15","-79.85","213.40","6110216","","","1953","1975","","","1953","1975","1953","1975"
"ALLISTON NELSON","ONTARIO","44.15","-79.87","221.00","6110218","","","1973","2008","","","1973","2008","1973","2006"
"ALLISTON SNOW","PRINCE EDWARD ISLAND","46.07","-62.60","61.00","8300102","","","2008","2009","","","2008","2009","",""
"ALLOA","ONTARIO","43.72","-79.87","262.10","6150224","","","1951","1954","","","1951","1954","1951","1954"
"ALMA","NEW BRUNSWICK","45.60","-64.95","42.70","8100200","","","1950","2011","","","1950","2011","1950","2006"
"ALMASIPPI","MANITOBA","49.55","-98.20","274.30","5020036","","","1902","1925","","","1902","1925","1902","1925"
"ALMONTE","ONTARIO","45.18","-76.23","125.00","6100226","","","1912","1980","","","1912","1980","1912","1980"
"ALONSA","MANITOBA","50.83","-99.05","274.30","5040037","","","1980","2007","","","1980","2007","1980","2007"
"ALOUETTE LAKE","BRITISH COLUMBIA","49.28","-122.48","117.30","1100360","","","1924","1982","","","1924","1982","1924","1982"
"ALOUETTE POWER HOUSE","BRITISH COLUMBIA","49.37","-122.32","91.40","1100370","","","1935","1949","","","1935","1949","1935","1949"
"ALSASK","SASKATCHEWAN","51.38","-110.00","701.00","4040120","","","1913","1951","","","1913","1951","1913","1951"
"ALSASK","ALBERTA","51.38","-110.03","701.00","3020220","","","1957","1965","","","1957","1965","1957","1965"
"ALSASK","SASKATCHEWAN","51.42","-109.90","661.40","4020121","","","1970","1970","","","1970","1970","1970","1970"
"ALSASK HARDENE","SASKATCHEWAN","51.33","-109.85","658.40","4020130","","","1959","1997","","","1959","1997","1959","1997"
"ALTA LAKE","BRITISH COLUMBIA","50.15","-122.95","667.50","1040390","","","1950","1976","1953","1976","1950","1976","1950","1976"
"ALTA LAKE 2","BRITISH COLUMBIA","50.15","-122.98","640.10","1040420","","","1931","1969","","","1931","1969","1931","1969"
"ALTA LAKE NORTHAIR MINE","BRITISH COLUMBIA","50.12","-123.10","1005.80","1040400","","","1975","1987","","","1975","1987","1975","1987"
"ALTAWAN","ALBERTA","49.25","-110.01","944.90","3040223","","","1965","2007","","","1965","2007","1965","2007"
"ALTON","ONTARIO","43.85","-80.08","401.40","6150243","","","1887","1964","","","1887","1964","1887","1963"
"ALTONA","MANITOBA","49.10","-97.55","247.80","5020040","","","1948","2008","","","1948","2008","1948","2007"
"ALTONA CFAM","MANITOBA","49.10","-97.55","247.50","5020050","","","1959","1968","","","1959","1968","1959","1968"
"ALTONA SOUTH","MANITOBA","49.05","-97.57","249.90","5020054","","","1984","1989","","","1984","1989","1984","1989"
"ALVINSTON","ONTARIO","42.87","-81.88","221.00","6120250","","","1965","1969","","","1965","1969","1965","1969"
"AMARANTH","MANITOBA","50.63","-98.72","259.10","5040060","","","1980","2004","","","1980","2004","1980","2004"
"AMBER LO","ALBERTA","59.18","-119.45","579.10","3070230","","","1967","2011","","","1967","2011","1967","2007"
"AMHERST (AUT)","NOVA SCOTIA","45.85","-64.27","23.00","8200091","","WAH","1992","2005","1994","2005","1992","2005","",""
"AMHERST ISLAND CDA EPF","QUEBEC","47.22","-61.97","15.20","7050100","","","1957","1962","","","1957","1962","1959","1962"
"AMHERSTBURG","ONTARIO","42.10","-83.09","182.00","6130257","","","1988","2022","","","1988","2022","1988","2006"
"AMISK","ALBERTA","52.68","-111.12","701.00","3010232","","","1967","1974","","","1967","1974","1967","1974"
"AMOS","QUEBEC","48.57","-78.13","310.00","7090120","","","1913","2000","","","1913","2000","1913","2000"
"AMPHITRITE POINT","BRITISH COLUMBIA","48.92","-125.54","26.50","1030426","","WAN","1980","2010","1980","2001","1980","2010","1980","1999"
"AMPHITRITE POINT","BRITISH COLUMBIA","48.92","-125.53","10.70","1030425","","","1958","1980","","","1958","1980","1958","1980"
"AMQUI","QUEBEC","48.47","-67.43","166.00","7050145","71386","WZS","1995","2019","1995","2019","1996","2019","",""
"AMQUI","QUEBEC","48.52","-67.45","182.90","7050140","","","1957","1997","","","1957","1997","1957","1997"
"AMULET","SASKATCHEWAN","49.62","-104.73","727.60","4010150","","","1970","2002","","","1970","2002","1970","2002"
"AMYOT LAKE","SASKATCHEWAN","53.70","-106.68","","4050153","","","1972","1972","","","1972","1972","1972","1972"
"ANAHIM LAKE","BRITISH COLUMBIA","52.47","-125.32","1108.00","1080431","","","1975","1994","","","1975","1994","1975","1994"
"ANAHIM LAKE","BRITISH COLUMBIA","52.35","-125.33","1097.30","1080430","","","1954","1967","","","1954","1967","1954","1967"
"ANAHIM LAKE 5 MILE RANCH","BRITISH COLUMBIA","52.53","-125.07","1246.00","1080432","","","1980","1988","","","1980","1988","1980","1988"
"ANDREW","ALBERTA","54.02","-112.23","610.00","3010234","","","1973","2017","","","1973","2017","1973","2007"
"ANDREW AGDM","ALBERTA","53.92","-112.28","625.00","3010237","71286","XAG","1998","2022","1998","2022","2002","2022","2002","2007"
"ANEROID","SASKATCHEWAN","49.72","-107.30","754.10","4020160","","","1916","2005","","","1916","2005","1916","2005"
"ANGERS","QUEBEC","45.55","-75.55","91.00","7030170","","","1962","2022","","","1962","2022","1962","2018"
"ANGLIA","SASKATCHEWAN","51.57","-108.17","567.20","4040180","","","1913","1945","","","1913","1945","1913","1945"
"ANGUS","ONTARIO","44.32","-79.87","191.10","6110270","","","1930","1965","","","1930","1965","1930","1965"
"ANGUS CAMPHILL","ONTARIO","44.28","-79.85","212.00","6110275","","","1994","1997","","","1994","1997","1994","1997"
"ANGUS TOWER","NORTHWEST TERRITORIES","60.35","-114.28","246.90","2200310","","","1968","1990","","","1968","1990","1968","1990"
"ANNACIS ISLAND","BRITISH COLUMBIA","49.18","-122.93","4.60","1100440","","","1954","1962","","","1954","1962","1954","1962"
"ANNAPOLIS ROYAL","NOVA SCOTIA","44.75","-65.52","7.70","8200100","","","1914","2007","","","1914","2007","1914","2006"
"ANNIE LAKE ROBINSON","YUKON TERRITORY","60.47","-134.83","820.00","2100115","","","1976","2006","","","1976","2006","1976","2006"
"ANOLA","MANITOBA","49.88","-96.65","255.10","5020069","","","1986","1987","","","1986","1987","1986","1987"
"ANSE AU GRIFFON","QUEBEC","48.93","-64.28","61.00","7050195","","","1973","1985","","","1973","1985","1973","1985"
"ANSELL LO","ALBERTA","53.55","-116.50","968.00","3060235","","","1960","2011","","","1960","2011","1960","2007"
"ANSELMO","ALBERTA","53.97","-115.42","853.40","3060237","","","1990","2003","","","1990","2003","1990","2003"
"ANTHRACITE","ALBERTA","51.20","-115.50","1386.80","3050240","","","1929","1962","","","1929","1962","1931","1962"
"ANTICOSTI HEATH POINT","QUEBEC","49.10","-61.70","9.10","7050198","","","1882","1935","","","1882","1935","1882","1935"
"ANTICOSTI SW POINT","QUEBEC","49.40","-63.55","7.30","7050200","","","1872","1954","","","1872","1954","1872","1954"
"ANTICOSTI WEST POINT","QUEBEC","49.87","-64.53","9.10","7050210","","","1882","1933","","","1882","1933","1882","1933"
"ANTIGONISH","NOVA SCOTIA","45.62","-61.98","30.50","8200151","","","1979","1982","","","1979","1982","1979","1982"
"ANTIGONISH","NOVA SCOTIA","45.63","-61.97","9.10","8200150","","","1880","1947","","","1880","1947","1880","1947"
"ANTIGONISH SNOW","NOVA SCOTIA","45.62","-61.90","30.00","8200152","","","2009","2009","","","2009","2009","",""
"ANTLER HILL","ALBERTA","52.05","-113.85","944.90","3020250","","","1973","1973","","","1973","1973","1973","1973"
"ANVIL","YUKON TERRITORY","62.37","-133.38","1158.20","2100120","","","1967","1991","","","1967","1991","1967","1991"
"ANVIL ISLAND","BRITISH COLUMBIA","49.52","-123.30","30.50","1040445","","","1956","1963","","","1956","1963","1956","1963"
"ANYOX","BRITISH COLUMBIA","55.42","-129.82","112.80","1060446","","","1916","1935","","","1916","1935","1916","1935"
"ANZAC","ALBERTA","56.45","-111.03","495.30","3060281","","","1972","1979","","","1972","1979","1972","1979"
"ANZAC","ALBERTA","56.45","-111.05","487.70","3060280","","","1950","1957","","","1950","1957","1950","1957"
"APEX MTN LODGE","BRITISH COLUMBIA","49.40","-119.92","1889.80","1120447","","","1965","1971","","","1965","1971","1965","1971"
"APPLE HILL","ONTARIO","45.22","-74.75","91.40","6100284","","","1950","1961","","","1950","1961","1950","1961"
"APPLETON","ONTARIO","45.19","-76.11","133.00","6100285","","","1992","2022","","","1992","2022","1992","2006"
"APPS MILL","ONTARIO","43.13","-80.38","230.10","6140286","","","1972","1972","","","1972","1972","1972","1972"
"APRIL BROOK IHD","NOVA SCOTIA","46.23","-61.13","61.00","8200155","","","1966","1976","","","1966","1976","1966","1976"
"APSLEY","ONTARIO","44.77","-78.08","274.30","6160297","","","1922","1957","","","1922","1957","1922","1957"
"ARAWANA","BRITISH COLUMBIA","49.58","-119.57","518.20","1120M47","","","1970","1976","","","1970","1976","1970","1976"
"ARBORG","MANITOBA","50.93","-97.08","224.00","5030080","","","1951","2016","","","1951","2016","1951","2007"
"ARCHERWILL","SASKATCHEWAN","52.43","-104.02","556.00","4080200","","","1951","1982","","","1951","1982","1951","1982"
"ARCOLA CDA EPF","SASKATCHEWAN","49.63","-102.53","603.50","4010240","","","1952","1993","","","1952","1993","1952","1993"
"ARCTIC BAY","NUNAVUT","73.01","-85.05","21.90","2400399","","YAB","2011","2022","2011","2022","2018","2022","",""
"ARCTIC BAY","NUNAVUT","73.03","-85.15","11.30","2400400","","","1937","1976","1953","1976","1937","1976","1937","1976"
"ARCTIC BAY A","NUNAVUT","73.01","-85.05","21.90","2400401","","YAB","2012","2022","2012","2022","","","",""
"ARCTIC BAY CS","NUNAVUT","72.99","-85.01","10.00","2400404","71592","XAT","1999","2022","2000","2022","1999","2022","1999","2007"
"ARCTIC RED RIVER","NORTHWEST TERRITORIES","67.45","-133.73","30.50","2200412","","","1974","1975","","","1974","1975","1974","1975"
"ARDEN","ONTARIO","44.70","-76.95","","6100310","","","1895","1911","","","1895","1911","1895","1911"
"ARDENVILLE","ALBERTA","49.53","-113.43","1126.00","3030200","","PAV","2014","2022","2014","2022","2018","2022","",""
"ARGENTA","BRITISH COLUMBIA","50.17","-116.93","548.60","1140448","","","1957","1974","","","1957","1974","1957","1974"
"ARGENTIA (AUT)","NEWFOUNDLAND","47.29","-53.99","19.00","8400104","71807","WAR","1987","2022","1987","2022","1992","2022","2004","2007"
"ARGENTIA A","NEWFOUNDLAND","47.30","-54.00","15.50","8400102","","","1976","1986","1976","1986","1976","1986","1976","1986"
"ARGENTIA A","NEWFOUNDLAND","47.30","-54.00","13.70","8400100","","","1945","1970","1953","1970","1945","1970","1945","1970"
"ARGYLE HEAD","NOVA SCOTIA","43.83","-65.87","15.20","8200170","","","1981","1983","","","1981","1983","1981","1983"
"ARGYLE SHORE","PRINCE EDWARD ISLAND","46.17","-63.35","15.20","8300108","","","1988","1991","","","1988","1991","1988","1991"
"ARKONA","ONTARIO","43.03","-81.92","182.90","6120315","","","1882","1915","","","1882","1915","1882","1915"
"ARMADA EXP ST","ALBERTA","50.40","-112.68","911.40","3030300","","","1955","1963","","","1955","1963","1955","1963"
"ARMAGH","QUEBEC","46.75","-70.53","358.00","7050240","","","1916","1994","","","1916","1994","1916","1994"
"ARMAGH STATION","QUEBEC","46.72","-70.62","312.40","7050245","","","1966","1986","","","1966","1986","1966","1986"
"ARMENA","ALBERTA","53.13","-112.95","746.80","3010301","","","1969","1972","","","1969","1972","1969","1972"
"ARMIT","SASKATCHEWAN","52.83","-101.78","308.00","4080250","","","1958","1994","","","1958","1994","1958","1994"
