"mcode","munnom","madr1","madr2","madr3","madr4","mcodpos","mcourriel","mweb","mtel","mfax","mdes","mgentile","regadm","divrec","mrc","mdatcons","mdatregi","msuperf","mpopul","datelec","elecmode","divter","maire","con1","con2","con3","con4","con5","con6","con7","con8","con9","con10","con11","con12","con13","con14","con15","con16","con17","con18","con19","con20","con21","con22","con23","con24","con25","con26","con27","con28","con29","con30","con31","con32","con33","con34","con35","con36","con37","con38","con39","con40","con41","con42","con43","con44","con45","con46","con47","con48","con49","con50","con51","con52","con53","con54","con55","con56","con57","con58","con59","con60","con61","con62","con63","con64","con65","con66","con67","con68","con69","con70","con71","con72","con73","con74","con75","dirgen","dirsecpub","tres","gref","sectres","polic","incen","loisir","trvpub","mesurg","urban","communic","permis","batim","nd"
"88055","Amos","182, 1re Rue E.","Amos","182, 1re Rue E.","Amos","J9T2G1","infos@amos.quebec","www.amos.quebec","8197323254","8197279792","Ville","Amossois, oise*","Abitibi-Témiscamingue (08)","Abitibi (88)","MRC Abitibi (880)","1987-01-17","","437.382","12651","2025-11-02","B","Sans division","Sébastien D'Astous","Robert Julien","Martin Roy","Nathalie Michaud","Pierre Deshaies","Mario Brunet","Annie Quenneville","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Guy Nolet","","Richard Michaud","Claudyne Maurice","","","Guy Béchard","Bernard Blais","Mario Grenier","Guy Nolet","","Lucie Veillette","Martin Brunet","",""
"07047","Amqui","20, promenade Marcel-Rioux","Amqui","20, promenade Marcel-Rioux","Amqui","G5J1A1","administration@amqui.ca","www.ville.amqui.qc.ca","4186294242","4186294090","Ville","Amquien, ienne","Bas-Saint-Laurent (01)","La Matapédia (07)","MRC La Matapédia (070)","1991-01-16","","128.269","6145","2025-11-02","B","District","Sylvie Blanchette","Elaine A. Guilbault","Sarah-Josée Fournier","Pier-Luc Denoncourt","Égide Charest","Richard Leclerc","Luc Daigle","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Marie-Hélène Dupont","","Michaël Côté","Vincent Paradis","","","","Jonathan Lévesque","Stéphane Chiasson","Marie-Hélène Dupont","","","Bruno Caron","",""
"55008","Ange-Gardien","249, rue Saint-Joseph","Ange-Gardien","249, rue Saint-Joseph","Ange-Gardien","J0E1E0","info@municipalite.ange-gardien.qc.ca","www.municipalite.ange-gardien.qc.ca","4502937575","4502936635","Municipalité","Gardangeois, oise*","Montérégie (16)","Rouville (55)","MRC Rouville (550)","1997-12-31","","90.292","2908","2025-11-02","B","District","Yvan Pinsonneault","Rhéal Grenier","Éric Ménard","Jonathan Alix","Charles Choquette","Benoit Pépin","Marie-Eve Goos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Brigitte Vachon","","","","Brigitte Vachon","","Philippe Chartrand","Jennie Rainville","Jean-Pierre Racicot","Brigitte Vachon","","","","",""
"19037","Armagh","5, rue de la Salle","Armagh","5, rue de la Salle","Armagh","G0R1A0","info@armagh.ca","www.armagh.ca","4184662916","4184662409","Municipalité","Armageois, oise*","Chaudière-Appalaches (12)","Bellechasse (19)","MRC Bellechasse (190)","1993-12-29","","170.585","1499","2025-11-02","B","Sans division","Suzie Bernier","Marie-Ève Caron","Jean-François Labrecque","Nicolas Guillemette","Corinne Boucher","Cédric Beaulieu","Keven Jolin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sylvie Vachon","","","","Sylvie Vachon","","Christian Théberge","Audrey Vallières","Alain Dubé","Sylvie Vachon","","","Marie-Lou Asselin","",""
"78060","Arundel","2, rue du Village","Arundel","2, rue du Village","Arundel","J0T1A0","info@arundel.ca","www.arundel.ca","8196813390","8196878760","Canton","Arundelite","Laurentides (15)","Les Laurentides (78)","MRC Les Laurentides (780)","1878-01-01","","66.83","555","2025-11-02","B","Sans division","Pascale Blais","Stéphane Carrière","Richard E Dubeau","Danny Paré","Tamara Rathwell","Simon Laforest","Dale Rathwell","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Poste Vacant","","","","Poste Vacant","","","","","","","","","",""
"41055","Ascot Corner","5655, route 112","Ascot Corner","5655, route 112","Ascot Corner","J0B1A0","ascot.corner@hsfqc.ca","www.ascot-corner.com","8195608560","8195608561","Municipalité","Ascotois, oise*","Estrie (05)","Le Haut-Saint-François (41)","MRC Le Haut-Saint-François (410)","1901-03-28","","85.449","3365","2025-11-02","B","Sans division","Eric Mageau","Gina Castelli","Sylvie Boucher","Alain Marc Rondeau","Stéphane Baillargeon","Lisa Cadorette","Hélène Bédard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Jonathan Piché","","","","Jonathan Piché","","Dany Robitaille","","Marc Bernier","Jonathan Piché","","","","",""
"50013","Aston-Jonction","1300, rue Principale","Aston-Jonction","1300, rue Principale","Aston-Jonction","G0Z1A0","dg@aston-jonction.ca","www.aston-jonction.ca","8194891158","0000000000","Municipalité","Astonnais, aise*","Centre-du-Québec (17)","Nicolet-Yamaska (50)","MRC Nicolet-Yamaska (500)","1997-03-26","","25.987","448","2025-11-02","B","Sans division","Christine Gaudet","Liliane St-Hilaire","Benoit Lussier","Line Pellerin","François Page","","René St-Pierre","Saul Bergeron","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Carole Pigeon","","","","","","","","","","","","Anne-Marie Désilets","",""
"13045","Auclair","681, rue du Clocher","Auclair","681, rue du Clocher","Auclair","G0L1A0","jdube@municipaliteauclair.ca","www.municipaliteauclair.ca","4188992834","4188996958","Municipalité","Auclairois, oise*","Bas-Saint-Laurent (01)","Témiscouata (13)","MRC Témiscouata (130)","1954-01-01","","109.716","448","2025-11-02","B","Sans division","Bruno Bonesso","Stéphan Dubé","Cynthia Dumont","Émilie Belzile","Jérémy Robert","Michaël Fortin","Claudia Lavoie","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Josée Dubé","","","","Josée Dubé","","Normand Robert","Dany Lavoie","","Normand Robert","","Josée Dubé","Denis Bergeron","",""
"30055","Audet","266, rue Principale","Audet","266, rue Principale","Audet","G0Y1A0","munaudet@axion.ca","www.munaudet.qc.ca","8195831596","8195835938","Municipalité","Audettois, oise","Estrie (05)","Le Granit (30)","MRC Le Granit (300)","1903-11-26","","133.75","771","2025-11-02","B","Sans division","Danièle Provencher","Marthe Bélanger","Benoît Quirion","Germain Fortin","André Béliveau","Stéphanie Leblanc","Daniel Coutu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","France Larochelle","","","","France Larochelle","","Véronique L'Heureux","","","","","","Urbatek  Firme ","Urbatek  Firme ",""
"83090","Aumond","664, route Principale","Aumond","664, route Principale","Aumond","J0W1W0","dg@aumond.ca","www.aumond.ca","8194494006","8194497448","Canton","Aumondois, oise*","Outaouais (07)","La Vallée-de-la-Gatineau (83)","MRC La Vallée-de-la-Gatineau (830)","1877-12-12","","227.619","797","2025-11-02","B","Sans division","Poste Vacant","Barry Ardis","Ariane Guilbault","Poste Vacant","Robert Piché","Sébastien Lafrenière","Anne Lévesque","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Caroline Leruite","","","","Caroline Leruite","","Benoit Chartrand","","Jacques Marinier","Caroline Leruite","","","charles langevin","charles langevin",""
"99105","Aupaluk","C.P. 5","Aupaluk","C.P. 5","Aupaluk","J0M1X0","secretary.treasurer@aupaluk.ca","www.nvaupaluk.ca","8194917070","8194917035","Village nordique","Aupalummiuq, miuq","Nord-du-Québec (10)","Nord-du-Québec (99)","MRC Administration régionale Kativik (992)","1980-02-02","","32.725","234","2024-11-06","B","","Georges Eetook","Maggie Akpahatak","Nuna Akpahatak","Janice Grey Scott","Maggie Grey","Jessica Kulula","Edward Saluarsiak","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Eva Grey","","","","","","","","","",""
"45085","Austin","21, chemin Millington","Austin","21, chemin Millington","Austin","J0B1B0","info@municipalite.austin.qc.ca","www.municipalite.austin.qc.ca","8198432388","8198438211","Municipalité","Austinois, oise*","Estrie (05)","Memphrémagog (45)","MRC Memphrémagog (450)","1938-11-05","","86.167","1718","2025-11-02","B","Sans division","Lisette Maillé","Victor Dingman","Claire Rocher","François Tanguay","Isabelle Couture","Pierre Henrichon","Bernard Jeansonne","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Fortin Manon","","","","Manon Fortin","","Paul Robitaille","","Stephen Nicholson","Paul Robitaille","","","Stephen Nicholson","Marc Éthier",""
"87050","Authier","457, rue de la Montée","Authier","457, rue de la Montée","Authier","J0Z1C0","authier@mrcao.qc.ca","authier.ao.ca","8197823093","8197823203","Municipalité","Authiérois, oise*","Abitibi-Témiscamingue (08)","Abitibi-Ouest (87)","MRC Abitibi-Ouest (870)","1918-09-20","","143.541","267","2025-11-02","B","Sans division","Marcel Cloutier","Nathalie Gaudette","Angèle Auger","Cindy Demers","Ghislain Desaulniers","Yvon Gagné","François Deschênes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Rachel Barbe","","","","Rachel Barbe","","Ghislain Mélançon","","Poste Vacant","Rachel Barbe","","","Poste Vacant","",""
"87100","Authier-Nord","452, rue Principale","Authier-Nord","452, rue Principale","Authier-Nord","J0Z1E0","authier-nord@mrcao.qc.ca","authier-nord.ao.ca","8197823914","8197823916","Municipalité","Authiernordois, oise*","Abitibi-Témiscamingue (08)","Abitibi-Ouest (87)","MRC Abitibi-Ouest (870)","1983-01-01","","285.689","295","2025-11-02","B","Sans division","Fernand Major","Mélissa Gosselin-Dubé","Marie-Ève Larouche","Jean-François Gagnon","Gilles Dubé","Noëlla Dubé","Poste Vacant","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Élise Gagnon","","","","Élise Gagnon","","","","","","","","","",""
"45035","Ayer's Cliff","958, rue Main","Ayer's Cliff","958, rue Main","Ayer's Cliff","J0B1C0","info@ayerscliff.ca","www.ayerscliff.ca","8198385006","8198384411","Village","Ayer's-Cliffois, oise","Estrie (05)","Memphrémagog (45)","MRC Memphrémagog (450)","1909-02-04","","7.42","1183","2025-11-02","B","Sans division","SIMON Roy","Patrick Proulx","CAROLINE Paul","Peter James McHarg","NANCY Vanasse","FRANCE Coulombe","Michael Crook","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Bastien Lefebvre","","","","Bastien Lefebvre","","Dany Brus","","","Bastien Lefebvre","","","Pierre-David Lataille","",""
"96020","Baie-Comeau","2, place La Salle","Baie-Comeau","2, place La Salle","Baie-Comeau","G4Z1K3","greffebc@ville.baie-comeau.qc.ca","www.ville.baie-comeau.qc.ca","4182968109","4182968194","Ville","Baie-Comois, oise*","Côte-Nord (09)","Manicouagan (96)","MRC Manicouagan (960)","1982-06-23","","434.536","20823","2025-11-02","B","District","Yves Montigny","Sébastien Langlois","Joannie Lajeunesse","Serge Deschênes","Carole Deschênes","Alain Chouinard","Michel Beaulieu","Lysandre St-Pierre","Marc Rainville","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","François Corriveau","","Jeanie Caron","Annick Tremblay","","","Alain Miville","","Ghislain Gauthier","François Corriveau","","Mathieu Pineault","Audrey-Anne Hudon","",""
"08080","Baie-des-Sables","20, rue du Couvent","Baie-des-Sables","C.P. 39","Baie-des-Sables","G0J1C0","baiedessables@lamatanie.ca","www.municipalite.baiedessables.ca","4187726218","4187726455","Municipalité","Baie-des-Sablien, ienne*","Bas-Saint-Laurent (01)","Matane (08)","MRC La Matanie (080)","1859-01-01","","65.299","618","2025-11-02","B","Sans division","Gérald Beaulieu","Denis Forest","Nicole Marcheterre","Gabrielle Trigaux","Kate Johannie Murray St-Pierre","Christian Chaumont","Marie-Claude Saucier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Adam Coulombe","","","","Adam Coulombe","","","","André Bernier","Adam Coulombe","","","Adam Coulombe","",""
"50100","Baie-du-Febvre","298, route Marie-Victorin","Baie-du-Febvre","C.P. 10","Baie-du-Febvre","J0G1A0","municipalite@baie-du-febvre.net","www.baie-du-febvre.net","8195196422","8195196423","Municipalité","Baievillois, oise*","Centre-du-Québec (17)","Nicolet-Yamaska (50)","MRC Nicolet-Yamaska (500)","1983-03-26","","173.361","974","2025-11-02","B","Sans division","Claude Lefebvre","Sylvain Pronovost","Audrey-Claude Benoit","Marcelle Trottier","Nicolas Dujardin","Colette Fréchette Beausoleil","Geneviève Gauthier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Maryse Baril","","","","Maryse Baril","","Alain Auger","","","Maryse Baril","","","Anne-Marie Désilets","",""
"66112","Baie-D'Urfé","20410, chemin Lakeshore","Baie-D'Urfé","20410, chemin Lakeshore","Baie-D'Urfé","H9X1P7","info@baie-durfe.qc.ca","www.baie-durfe.qc.ca","5144575324","5144575671","Ville","","Montréal (06)","Montréal (66)","","2006-01-01","","8.023","3962","2025-11-02","B","Sans division","Heidi Ektvedt","Nicolas Drouin","Wanda Lowensteyn","Janet Ryan","Nadia Bissada","Brigitte Chartrand","Stephen Gruber","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Nicolas Bouchard","","Julie MacDowell","Tania Lê","","","","","Nicholas Mavrias","",""," Daphné Arias-Guillemette","","",""
"98035","Baie-Johan-Beetz","15, rue du N.","Baie-Johan-Beetz","15, rue du N.","Baie-Johan-Beetz","G0G1B0","directiongenerale@baiejohanbeetz.qc.ca","www.baiejohanbeetz.qc.ca","4185390007","4185390205","Municipalité","Baie-Johannais,aise","Côte-Nord (09)","Minganie-Basse-Côte-Nord (98)","MRC Minganie (981)","1966-01-01","","532.059","87","2025-11-02","B","Sans division","Martin Côté","Clément Tanguay","Sébastien L'Écuyer","Jacques Devost","Maryse Bourque","Luc Bourque","Denis Harvey","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Myriam Lafleur","","","","Myriam Lafleur","","","","","Myriam Lafleur","","","Marina Boudreau","",""
"15065","Baie-Sainte-Catherine","308, rue Leclerc","Baie-Sainte-Catherine","C.P. 10","Baie-Sainte-Catherine","G0T1A0","municipalite@baiestecatherine.com","www.baiestecatherine.com","4186205020","4186205021","Municipalité","Baie-Catherinois, oise*","Capitale-Nationale (03)","Charlevoix-Est (15)","MRC Charlevoix-Est (150)","1903-11-04","","419.74","188","2025-11-02","B","Sans division","Donald Kenny","Albert Dallaire","Daniel Gaudreault","Odette Ouellet","Guillaume Poitras","Manon Foster","Yvan Poitras","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Mariève Bouchard","","","","Mariève Bouchard","","","Mariève Bouchard","Poste vacant","Mariève Bouchard","","","","",""
"16013","Baie-Saint-Paul","15, rue Forget","Baie-Saint-Paul","15, rue Forget","Baie-Saint-Paul","G3Z3G1","ville@baiesaintpaul.com","www.baiesaintpaul.com","4184352205","4184352688","Ville","Baie-Saint-Paulois, oise*","Capitale-Nationale (03)","Charlevoix (16)","MRC Charlevoix (160)","1996-01-03","","565.694","7227","2025-11-02","B","District","Michaël Pilote","Xavier Bessone","Michel Fiset","Jean-François Ménard","Annie Bouchard","Gaston Duchesne","Ghislain Boily","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Alain Gravel","Réjean Tremblay","Émilien Bouchard","","Alain Gravel","","Robert Bellerive","Jean Daniel","","","Luce-Ann Tremblay","","",""
"96005","Baie-Trinité","28, route 138","Baie-Trinité","C.P. 100","Baie-Trinité","G0H1A0","directiongenerale@baie-trinite.quebec","baie-trinite.quebec","4189392231","4189392616","Village","Baie-Trinitois, oise*","Côte-Nord (09)","Manicouagan (96)","MRC Manicouagan (960)","1955-01-01","","538.737","393","2025-11-02","B","Sans division","Étienne Baillargeon","Michel Paquet","Yvan Thibeault","Poste Vacant","Thérèse Gendreault","Carole Jourdain","Jean Proulx","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Gilles Provencher","","","","Gilles Provencher","","","","","","","","","",""
"78050","Barkmere","199, chemin Barkmere","Barkmere","199, chemin Barkmere","Barkmere","J0T1A0","dg@barkmere.ca","www.barkmere.ca","8196813374","8196813375","Ville","Bark Laker","Laurentides (15)","Les Laurentides (78)","MRC Les Laurentides (780)","1926-03-24","","24.915","57","2025-11-02","B","Sans division","Luc Trépanier","Marc Frédette","Stephen Lloyd","Jake Chadwick","Marie-Hélène Lemarbre","Kimberley Lamoureux","Kenneth Mann","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Martin Paul Gélinas","","","","Martin Paul Gélinas","","","","","Martin Paul Gélinas","","","","",""
"44045","Barnston-Ouest","2080, chemin Way's Mills","Ayer's Cliff   ","2080, chemin Way's Mills","Ayer's Cliff   ","J0B1C0","info@barnston-ouest.ca","www.barnston-ouest.ca","8198384334","8198381717","Municipalité","Barnstonnien, nienne*","Estrie (05)","Coaticook (44)","MRC Coaticook (440)","1946-01-01","","99.844","574","2025-11-02","B","Sans division","Johnny Piszar","Lucie Michaud","Ziv Przytyk","Virginie Ashby","Normand Vigneau","Julie Grenier","Cynthia Ferland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sonia Tremblay","","","","Sonia Tremblay","","","","","","","","Camille Gagnon-Tremblay","",""
"88022","Barraute","481, 8e Avenue","Barraute","C.P. 299","Barraute","J0Y1A0","mun.barraute@cableamos.com","www.municipalitedebarraute.com","8197346574","8197345186","Municipalité","Barrautois, oise*","Abitibi-Témiscamingue (08)","Abitibi (88)","MRC Abitibi (880)","1994-01-05","","507.792","2008","2025-11-02","B","District","Yvan Roy","MICHEL Gagnon","MARIE-JOËLLE Desrosiers","GUY Gignac","JOËL Jobin","Manon Plante","ANDRÉ Gonthier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Alain Therrien","","Alain Therrien","","Alain Therrien","","Mario Lefebvre","","","","","","Mario Lefebvre","",""
